Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTClientes_v1.Crear_1;457;0;2021-08-26 16:56:36;[0, 0, 1, 1, 1];0;9
2;BTClientes_v1.Crear_2;300;0;2021-08-26 16:56:12;[0, 0, 1, 1, 1];0;9
3;BTClientes_v1.Crear_3;401;0;2021-08-26 16:56:00;[1, 1, 1, 1, 1];1;9
4;BTClientes_v1.Crear_4;385;0;2021-08-26 16:56:05;[1, 1, 1, 1, 1];1;9
5;BTClientes_v1.ObtenerClasificacionesInternas_1;257;0;2021-08-26 16:56:14;[0, 0, 0, 0, 0];0;9
6;BTClientes_v1.ObtenerClasificacionesInternas_2;272;0;2021-08-26 16:56:09;[0, 0, 0, 0, 0];0;9
7;BTClientes_v1.ObtenerClasificacionesInternas_3;280;0;2021-08-26 16:56:09;[0, 0, 0, 0, 0];0;9
8;BTClientes_v1.ObtenerCuentasAhorro_1;274;0;2021-08-26 16:56:13;[0, 0, 0, 0, 0];0;9
9;BTClientes_v1.ObtenerCuentasAhorro_2;296;0;2021-08-26 16:56:19;[0, 0, 0, 0, 0];0;9
10;BTClientes_v1.ObtenerCuentasAhorro_3;286;0;2021-08-26 16:56:20;[0, 0, 0, 0, 0];0;9
11;BTClientes_v1.ObtenerCuentasCorrientes_1;219;0;2021-08-26 16:56:15;[0, 0, 0, 0, 0];0;9
12;BTClientes_v1.ObtenerCuentasCorrientes_2;263;0;2021-08-26 16:56:20;[0, 0, 0, 0, 0];0;9
13;BTClientes_v1.ObtenerCuentasCorrientes_3;295;0;2021-08-26 16:56:23;[0, 0, 0, 0, 0];0;9
14;BTClientes_v1.ObtenerIdentificadorUnico_1;202;0;2021-08-26 16:56:27;[0, 0, 0, 0, 0];0;9
15;BTClientes_v1.ObtenerIdentificadorUnico_2;247;0;2021-08-26 16:56:22;[0, 0, 0, 0, 0];0;9
16;BTClientes_v1.ObtenerIdentificadorUnico_3;249;0;2021-08-26 16:56:27;[0, 0, 0, 0, 0];0;9
17;BTClientes_v1.ObtenerPerfil_1;309;0;2021-08-26 16:56:25;[0, 0, 0, 0, 0];0;9
18;BTClientes_v1.ObtenerPerfil_2;310;0;2021-08-26 16:56:26;[0, 0, 0, 0, 0];0;9
19;BTClientes_v1.ObtenerPerfil_3;514;0;2021-08-26 16:56:04;[1, 1, 0, 0, 1];1;9
20;BTClientes_v1.ObtenerPlazosFijos_1;214;0;2021-08-26 16:56:18;[0, 0, 0, 0, 0];0;9
21;BTClientes_v1.ObtenerPlazosFijos_2;231;0;2021-08-26 16:56:23;[0, 0, 0, 0, 0];0;9
22;BTClientes_v1.ObtenerPlazosFijos_3;309;0;2021-08-26 16:56:29;[0, 0, 0, 0, 0];0;9
23;BTClientes_v1.ObtenerPrestamos_1;231;0;2021-08-26 16:56:19;[0, 0, 0, 0, 0];0;9
24;BTClientes_v1.ObtenerPrestamos_2;240;0;2021-08-26 16:56:26;[0, 0, 0, 0, 0];0;9
25;BTClientes_v1.ObtenerPrestamos_3;369;0;2021-08-26 16:56:34;[0, 0, 0, 0, 0];0;9
26;BTClientes_v1.ObtenerResumenProductos_1;330;0;2021-08-26 16:56:33;[0, 0, 0, 0, 0];0;9
27;BTClientes_v1.ObtenerResumenProductos_2;389;0;2021-08-26 16:56:32;[0, 0, 0, 0, 0];0;9
28;BTClientes_v1.ObtenerResumenProductos_3;349;0;2021-08-26 16:56:35;[0, 0, 0, 0, 0];0;9
29;BTClientes_v1.ObtenerRiesgoCredito_1;262;0;2021-08-26 16:56:22;[0, 0, 0, 0, 0];0;9
30;BTClientes_v1.ObtenerRiesgoCredito_2;226;0;2021-08-26 16:56:12;[0, 0, 0, 0, 0];0;9
31;BTClientes_v1.ObtenerRiesgoCredito_3;163;0;2021-08-26 16:56:18;[0, 0, 0, 0, 0];0;9
32;BTClientes_v1.ObtenerSectores_1;226;0;2021-08-26 16:56:08;[0, 0, 0, 0, 0];0;9
33;BTClientes_v1.ObtenerSectores_2;273;0;2021-08-26 16:56:07;[0, 0, 0, 0, 0];0;9
34;BTClientes_v1.ObtenerSectores_3;246;0;2021-08-26 16:56:17;[0, 0, 0, 0, 0];0;9
35;BTClientes_v1.ObtenerTarjetasDebito_1;235;0;2021-08-26 16:56:21;[0, 0, 0, 0, 0];0;9
36;BTClientes_v1.ObtenerTarjetasDebito_2;223;0;2021-08-26 16:56:14;[0, 0, 0, 0, 0];0;9
37;BTClientes_v1.ObtenerTarjetasDebito_3;206;0;2021-08-26 16:56:21;[0, 0, 0, 0, 0];0;9
38;BTClientes_v1.ValidarExistencia_1;265;0;2021-08-26 16:56:14;[0, 0, 0, 0, 0];0;9
39;BTClientes_v1.ValidarExistencia_2;307;0;2021-08-26 16:56:10;[0, 0, 0, 0, 0];0;9
