Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTClientes_v1.Crear_4;362;0;2021-08-27 15:01:20;[1, 1, 1, 1, 1, 1, 1];1;10
2;BTClientes_v1.ObtenerPerfil_3;474;0;2021-08-27 15:01:20;[1, 1, 1, 1, 0, 0, 1];1;10
3;BTPrestamos_v1.ObtenerDetalle_3;514;0;2021-08-27 15:01:21;[1, 1, 1, 1, 1, 1, 1, 1];1;10
4;BTPrestamos_v1.Simular_3;349;0;2021-08-27 15:01:22;[1, 1, 1, 1, 1, 1];1;10
5;BTPrestamos_v1.Simular_1;344;0;2021-08-27 15:01:22;[1, 1, 1, 1, 1, 0];1;10
6;BTPrestamos_v1.Simular_5;283;0;2021-08-27 15:01:23;[1, 1, 1, 1, 1, 1];1;10
7;BTPrestamos_v1.Simular_2;1414;0;2021-08-27 15:01:24;[1, 1, 1, 1, 1, 1];1;10
8;BTPrestamos_v1.Simular_4;333;0;2021-08-27 15:01:26;[1, 1, 1, 1, 1, 1];1;10
9;BTPrestamos_v1.ObtenerDetalle_1;296;0;2021-08-27 15:01:26;[1, 1, 1, 1, 1, 1, 1, 1];1;10
10;BTClientes_v1.ObtenerTarjetasDebito_3;241;0;2021-08-27 15:01:27;[0, 0, 0, 0, 0, 0, 0];0;10
11;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_3;211;0;2021-08-27 15:01:27;[0, 0, 0, 0, 0, 0, 0];0;10
12;BTConfiguracionBantotal_v1.ObtenerSucursales_3;238;0;2021-08-27 15:01:27;[0, 0, 0, 0, 0, 0, 0];0;10
13;BTConfiguracionBantotal_v1.ObtenerEstadosProvinciasDepartamentos_3;204;0;2021-08-27 15:01:28;[0, 0, 0, 0, 0, 0, 0];0;10
14;BTConfiguracionBantotal_v1.ObtenerSucursales_2;246;0;2021-08-27 15:01:28;[0, 0, 0, 0, 0, 0, 0];0;10
15;BTClientes_v1.ObtenerCuentasAhorro_2;264;0;2021-08-27 15:01:29;[0, 0, 0, 0, 0, 0, 0];0;10
16;BTClientes_v1.ObtenerPrestamos_3;294;0;2021-08-27 15:01:29;[0, 0, 0, 0, 0, 0, 0];0;10
17;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_1;224;0;2021-08-27 15:01:29;[0, 0, 0, 0, 0, 0, 0];0;10
18;BTClientes_v1.ObtenerCuentasCorrientes_3;242;0;2021-08-27 15:01:30;[0, 0, 0, 0, 0, 0, 0];0;10
19;BTClientes_v1.ObtenerPlazosFijos_1;225;0;2021-08-27 15:01:30;[0, 0, 0, 0, 0, 0, 0];0;10
20;BTClientes_v1.ObtenerCuentasAhorro_1;219;0;2021-08-27 15:01:31;[0, 0, 0, 0, 0, 0, 0];0;10
21;BTConfiguracionBantotal_v1.ObtenerMonedas_3;209;0;2021-08-27 15:01:31;[0, 0, 0, 0, 0, 0, 0];0;10
22;BTClientes_v1.ObtenerClasificacionesInternas_2;210;0;2021-08-27 15:01:31;[0, 0, 0, 0, 0, 0, 0];0;10
23;BTClientes_v1.ValidarExistencia_1;237;0;2021-08-27 15:01:32;[0, 0, 0, 0, 0, 0, 0];0;10
